id	filename	md5	size	state
0517457e-039f-4637-a614-3371a43571b2	0517457e-039f-4637-a614-3371a43571b2/BAIZE_p_TCGA_b138_SNP_N_GenomeWideSNP_6_D10_808892.nocnv_grch38.seg.v2.txt	c4ee7f4534d088aab7f75d7b944caf5a	4183	validated
1042b89e-588a-4ee9-8b86-0d452d5fbf06	1042b89e-588a-4ee9-8b86-0d452d5fbf06/BEDEW_p_TCGA_FFPE_7_13_N_GenomeWideSNP_6_D06_1347468.nocnv_grch38.seg.v2.txt	a3c5362dcbb95e7cdf6029c25a0abe47	5224	validated
12fc551c-dce9-4412-b387-53c0887e096c	12fc551c-dce9-4412-b387-53c0887e096c/SCENA_p_TCGAb29and30_SNP_N_GenomeWideSNP_6_B08_569090.nocnv_grch38.seg.v2.txt	f2e1f9e8f0bca21060fad35511c2e362	10697	validated
169cf226-adff-42ca-bbff-429d2c013321	169cf226-adff-42ca-bbff-429d2c013321/KEYED_p_TCGAb41_SNP_N_GenomeWideSNP_6_C02_598730.nocnv_grch38.seg.v2.txt	49d837bb8780f64cc499152df15943df	4006	validated
17805b4a-796f-4ac4-9133-eb6ac685e249	17805b4a-796f-4ac4-9133-eb6ac685e249/DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_B01_1464678.nocnv_grch38.seg.v2.txt	1f24665c3887a9fbba45c42fa38a25d5	15347	validated
1ab258e8-6ed5-459f-8423-f1f5acb44761	1ab258e8-6ed5-459f-8423-f1f5acb44761/STALL_p_TCGA_b116_126_SNP_N_GenomeWideSNP_6_B11_781656.nocnv_grch38.seg.v2.txt	8f975f9ced5d68e2de54a892636612a6	34100	validated
1ef245d2-0532-48f0-bdea-09aeef123bff	1ef245d2-0532-48f0-bdea-09aeef123bff/BAIZE_p_TCGA_b138_SNP_N_GenomeWideSNP_6_G09_808748.nocnv_grch38.seg.v2.txt	40931ccb84e5561120737a17bc0a41fd	5291	validated
264f0e28-5f88-43d4-b5c3-3c1ca011b78f	264f0e28-5f88-43d4-b5c3-3c1ca011b78f/KEYED_p_TCGAb41_SNP_N_GenomeWideSNP_6_C12_598848.nocnv_grch38.seg.v2.txt	92d353a359799e66e462e7b84eb3a6a2	7531	validated
27048f72-d788-4ff5-9fdb-68df6e0c529d	27048f72-d788-4ff5-9fdb-68df6e0c529d/BRIAR_p_TCGA_297_298_299_300_S_GenomeWideSNP_6_G02_1362210.nocnv_grch38.seg.v2.txt	27b4a3d12226ffbc061a0dce64a5d6a1	24810	validated
28af8e6c-be11-48d4-a317-e4e11ec94a60	28af8e6c-be11-48d4-a317-e4e11ec94a60/KEYED_p_TCGAb41_SNP_N_GenomeWideSNP_6_C06_598806.nocnv_grch38.seg.v2.txt	3079511f9b72c64ffece599d586f6729	11562	validated
